,City council,Distance,Stop_lat,Stop_long,TotalAnnual,TotalAMPeak,TotalPMPeak,TotalWeekday,TotalWeekend,TotalOffpeak,TotalIncrease(%),WeekdayIncrease(%),AMIncrease(%),PMIncrease(%),OffPeakIncrease(%),WeekendIncrease(%),Unit18,House18,Plot18,Total18,Unit19,House19,Plot19,Total19,Unit20,House20,Plot20,Total20,Unit21,House21,Plot21,Total21,TotalUnit,TotalHouse,TotalPlot,Total
20,Nillumbik S  ,25.62933583368502,-37.65888784333333,145.1773792,1676350.0,3050.0,1100.0,5900.0,5450.0,3150.0,53.92452288707131,46.15384615384615,50.0,100.0,69.23076923076923,78.94736842105263,191,464,62,717,185,594,71,850,126,472,119,717,188,693,111,992,690,2223,363,3276
10,Hobsons Bay C  ,11.572842177626814,-37.859287812000005,144.84759319999998,17216850.0,27300.0,10950.0,58800.0,52600.0,22050.0,88.01061822649291,84.49367088607595,72.39263803680981,112.24489795918366,91.42857142857144,110.62992125984252,559,1045,49,1653,571,1142,16,1729,509,963,27,1499,824,1431,21,2276,2463,4581,113,7157
14,Maribyrnong C  ,7.113930812051514,-37.80491714333333,144.88809105,23513450.0,29400.0,21150.0,78900.0,77250.0,28950.0,66.21146838538144,64.76683937823834,55.55555555555556,73.37662337662337,69.15422885572139,80.56112224448898,1182,743,41,1966,943,847,101,1891,949,901,56,1906,1235,1120,18,2373,4309,3611,216,8136
26,Yarra C  ,3.0990257288267338,-37.808771140000005,144.99497034444445,38622700.0,20200.0,61800.0,125150.0,140750.0,43550.0,74.57240651886168,69.93355481727575,62.77372262773723,70.703125,74.76190476190476,91.34253450439148,1598,709,2,2309,1158,697,2,1857,994,648,2,1644,1512,1087,2,2601,5262,3141,8,8411
1,Bayside C  ,14.183176844793918,-37.93811101222222,145.01959796666668,19655550.0,28450.0,13250.0,63400.0,70800.0,21850.0,66.65585080948152,63.020833333333336,63.793103448275865,64.28571428571429,62.99212598425197,79.28388746803068,850,1153,11,2014,868,1207,4,2079,733,1073,15,1821,1093,1511,12,2616,3544,4944,42,8530
6,Greater Dandenong C  ,24.980748321006608,-37.968293548,145.17890782,18560600.0,20300.0,17550.0,63450.0,61500.0,25650.0,77.95554739162381,76.8,65.15151515151516,90.52631578947368,77.7027027027027,89.42598187311178,937,1098,74,2109,761,1155,80,1996,693,931,71,1695,1289,1506,55,2850,3680,4690,280,8650
0,Banyule C  ,13.392110228592378,-37.737716748,145.07951915,16823150.0,26600.0,13450.0,59200.0,49850.0,20300.0,57.926784669397314,55.69620253164557,51.010101010101,77.14285714285715,55.90551181102362,80.97014925373134,862,1277,19,2158,932,1254,26,2212,794,1048,19,1861,1151,1599,18,2768,3739,5178,82,8999
15,Maroondah C  ,24.31533074337537,-37.814101826,145.24341996,13461350.0,18300.0,10350.0,44850.0,44800.0,16700.0,59.621581025752846,57.09219858156028,43.51145038167939,88.67924528301887,59.4059405940594,68.4,823,1220,46,2089,960,1215,58,2233,774,1000,64,1838,1266,1501,74,2841,3823,4936,242,9001
18,Moonee Valley C  ,6.925494963011881,-37.76618474857143,144.9248193,17851900.0,26850.0,13350.0,60050.0,58650.0,20500.0,105.73885448124072,99.70501474926252,70.45454545454545,164.40677966101697,114.5631067961165,136.59420289855072,1137,1212,20,2369,1129,1186,25,2340,831,1108,31,1970,1229,1774,26,3029,4326,5280,102,9708
3,Brimbank C  ,16.208247160563833,-37.74982822333333,144.80585405,19624650.0,29200.0,10750.0,66650.0,60750.0,26700.0,50.60081466395112,49.80237154150198,51.30434782608696,51.28205128205128,48.97959183673469,54.83870967741935,564,1922,59,2545,525,1757,159,2441,467,1408,149,2024,761,2250,111,3122,2317,7337,478,10132
13,Knox C  ,28.884952536181448,-37.8691378825,145.28882575,6133700.0,10350.0,3000.0,21150.0,17550.0,8200.0,54.68080249575165,51.798561151079134,45.20547945205479,68.75,53.84615384615385,71.0,797,1645,48,2490,808,1612,44,2464,704,1352,39,2095,1034,2116,39,3189,3343,6725,170,10238
