,City council,Year,Unit,House,Plot,Total
0,Alpine S,2018,218,64,106,388
1,Alpine S,2019,214,44,69,327
2,Alpine S,2020,244,47,96,387
3,Alpine S,2021,252,65,72,389
4,Ararat Rural C,2018,209,22,25,256
5,Ararat Rural C,2019,194,20,15,229
6,Ararat Rural C,2020,193,22,42,257
7,Ararat Rural C,2021,224,29,27,280
8,Ballarat C,2018,2478,559,1879,4916
9,Ballarat C,2019,2142,418,1499,4059
10,Ballarat C,2020,2142,455,1876,4473
11,Ballarat C,2021,2474,486,1100,4060
12,Banyule C,2018,1277,862,19,2158
13,Banyule C,2019,1254,932,26,2212
14,Banyule C,2020,1048,794,19,1861
15,Banyule C,2021,1599,1151,18,2768
16,Bass Coast S,2018,1148,209,876,2233
17,Bass Coast S,2019,958,168,445,1571
18,Bass Coast S,2020,1166,168,829,2163
19,Bass Coast S,2021,1347,245,606,2198
20,Baw Baw S,2018,989,151,778,1918
21,Baw Baw S,2019,808,118,443,1369
22,Baw Baw S,2020,867,132,925,1924
23,Baw Baw S,2021,1153,152,570,1875
24,Bayside C,2018,1153,850,11,2014
25,Bayside C,2019,1207,868,4,2079
26,Bayside C,2020,1073,733,15,1821
27,Bayside C,2021,1511,1093,12,2616
28,Benalla Rural C,2018,236,61,44,341
29,Benalla Rural C,2019,215,34,50,299
30,Benalla Rural C,2020,224,35,60,319
31,Benalla Rural C,2021,257,27,72,356
32,Greater Bendigo C,2018,1963,363,765,3091
33,Greater Bendigo C,2019,1875,371,844,3090
34,Greater Bendigo C,2020,1884,321,1410,3615
35,Greater Bendigo C,2021,2350,455,569,3374
36,Boroondara C,2018,1610,1523,24,3157
37,Boroondara C,2019,1657,1349,19,3025
38,Boroondara C,2020,1398,1148,17,2563
39,Boroondara C,2021,2221,1885,25,4131
40,Brimbank C,2018,1922,564,59,2545
41,Brimbank C,2019,1757,525,159,2441
42,Brimbank C,2020,1408,467,149,2024
43,Brimbank C,2021,2250,761,111,3122
44,Buloke S,2018,123,3,18,144
45,Buloke S,2019,105,5,17,127
46,Buloke S,2020,131,7,29,167
47,Buloke S,2021,149,3,39,191
48,Campaspe S,2018,491,81,127,699
49,Campaspe S,2019,424,94,116,634
50,Campaspe S,2020,480,68,237,785
51,Campaspe S,2021,607,95,74,776
52,Cardinia S,2018,1853,235,903,2991
53,Cardinia S,2019,1726,208,789,2723
54,Cardinia S,2020,1669,197,1209,3075
55,Cardinia S,2021,2583,285,781,3649
56,Casey C,2018,4511,584,2677,7772
57,Casey C,2019,4683,522,2328,7533
58,Casey C,2020,4365,562,4235,9162
59,Casey C,2021,6406,875,2107,9388
60,Central Goldfields S,2018,233,36,36,305
61,Central Goldfields S,2019,207,23,41,271
62,Central Goldfields S,2020,203,25,67,295
63,Central Goldfields S,2021,294,32,93,419
64,Colac Otway S,2018,374,62,177,613
65,Colac Otway S,2019,340,50,136,526
66,Colac Otway S,2020,350,52,141,543
67,Colac Otway S,2021,387,55,111,553
68,Corangamite S,2018,211,14,44,269
69,Corangamite S,2019,177,10,41,228
70,Corangamite S,2020,217,13,67,297
71,Corangamite S,2021,251,18,46,315
72,Greater Dandenong C,2018,1098,937,74,2109
73,Greater Dandenong C,2019,1155,761,80,1996
74,Greater Dandenong C,2020,931,693,71,1695
75,Greater Dandenong C,2021,1506,1289,55,2850
76,Darebin C,2018,1290,1402,16,2708
77,Darebin C,2019,1267,1242,12,2521
78,Darebin C,2020,1107,1174,5,2286
79,Darebin C,2021,1635,1878,20,3533
80,East Gippsland S,2018,923,147,368,1438
81,East Gippsland S,2019,843,132,332,1307
82,East Gippsland S,2020,1012,86,567,1665
83,East Gippsland S,2021,1243,106,513,1862
84,Frankston C,2018,2117,803,69,2989
85,Frankston C,2019,1986,752,86,2824
86,Frankston C,2020,1810,813,58,2681
87,Frankston C,2021,2465,1131,50,3646
88,Frankston C,2018,0,0,0,0
89,Frankston C,2019,0,0,1,1
90,Frankston C,2020,0,0,0,0
91,Frankston C,2021,0,0,7,7
92,Gannawarra S,2018,194,8,40,242
93,Gannawarra S,2019,161,9,34,204
94,Gannawarra S,2020,173,15,59,247
95,Gannawarra S,2021,232,15,54,301
96,Greater Geelong C,2018,4560,1118,3367,9045
97,Greater Geelong C,2019,4184,934,1619,6737
98,Greater Geelong C,2020,4440,971,3227,8638
99,Greater Geelong C,2021,5602,1166,2457,9225
100,Glen Eira C,2018,1224,1736,13,2973
101,Glen Eira C,2019,1283,1456,14,2753
102,Glen Eira C,2020,948,1479,5,2432
103,Glen Eira C,2021,1435,2269,8,3712
104,Glenelg S,2018,418,39,71,528
105,Glenelg S,2019,349,58,72,479
106,Glenelg S,2020,363,30,148,541
107,Glenelg S,2021,393,47,107,547
108,Golden Plains S,2018,126,9,95,230
109,Golden Plains S,2019,117,4,52,173
110,Golden Plains S,2020,140,10,96,246
111,Golden Plains S,2021,138,6,47,191
112,Hepburn S,2018,286,24,91,401
113,Hepburn S,2019,253,22,74,349
114,Hepburn S,2020,289,27,125,441
115,Hepburn S,2021,312,19,145,476
116,Hindmarsh S,2018,118,4,23,145
117,Hindmarsh S,2019,98,5,22,125
118,Hindmarsh S,2020,118,6,20,144
119,Hindmarsh S,2021,142,2,28,172
120,Hobsons Bay C,2018,1045,559,49,1653
121,Hobsons Bay C,2019,1142,571,16,1729
122,Hobsons Bay C,2020,963,509,27,1499
123,Hobsons Bay C,2021,1431,824,21,2276
124,Horsham Rural C,2018,327,55,51,433
125,Horsham Rural C,2019,318,55,68,441
126,Horsham Rural C,2020,391,51,124,566
127,Horsham Rural C,2021,453,68,117,638
128,Hume C,2018,3050,537,2077,5664
129,Hume C,2019,3030,493,1822,5345
130,Hume C,2020,2923,514,3281,6718
131,Hume C,2021,4296,809,1270,6375
132,Indigo S,2018,193,26,82,301
133,Indigo S,2019,179,20,62,261
134,Indigo S,2020,171,16,138,325
135,Indigo S,2021,215,13,52,280
136,Kingston C,2018,1419,1480,12,2911
137,Kingston C,2019,1534,1453,36,3023
138,Kingston C,2020,1238,1319,31,2588
139,Kingston C,2021,1825,1912,35,3772
140,Knox C,2018,1645,797,48,2490
141,Knox C,2019,1612,808,44,2464
142,Knox C,2020,1352,704,39,2095
143,Knox C,2021,2116,1034,39,3189
144,Latrobe C,2018,1631,238,298,2167
145,Latrobe C,2019,1398,172,323,1893
146,Latrobe C,2020,1548,243,593,2384
147,Latrobe C,2021,1863,266,351,2480
148,Loddon S,2018,83,2,30,115
149,Loddon S,2019,85,1,25,111
150,Loddon S,2020,93,1,38,132
151,Loddon S,2021,117,0,37,154
152,Macedon Ranges S,2018,573,98,186,857
153,Macedon Ranges S,2019,475,94,177,746
154,Macedon Ranges S,2020,544,81,416,1041
155,Macedon Ranges S,2021,654,133,333,1120
156,Manningham C,2018,1067,790,48,1905
157,Manningham C,2019,1214,899,53,2166
158,Manningham C,2020,940,721,54,1715
159,Manningham C,2021,1522,1057,40,2619
160,Mansfield S,2018,151,29,109,289
161,Mansfield S,2019,127,22,102,251
162,Mansfield S,2020,176,30,123,329
163,Mansfield S,2021,232,22,67,321
164,Maribyrnong C,2018,743,1182,41,1966
165,Maribyrnong C,2019,847,943,101,1891
166,Maribyrnong C,2020,901,949,56,1906
167,Maribyrnong C,2021,1120,1235,18,2373
168,Maroondah C,2018,1220,823,46,2089
169,Maroondah C,2019,1215,960,58,2233
170,Maroondah C,2020,1000,774,64,1838
171,Maroondah C,2021,1501,1266,74,2841
172,Melbourne C,2018,304,4531,6,4841
173,Melbourne C,2019,274,3828,1,4103
174,Melbourne C,2020,224,2832,0,3056
175,Melbourne C,2021,399,3777,4,4180
176,Melton C,2018,2425,290,3835,6550
177,Melton C,2019,2197,261,2299,4757
178,Melton C,2020,2243,209,4871,7323
179,Melton C,2021,3411,324,4008,7743
180,Mildura Rural C,2018,938,153,244,1335
181,Mildura Rural C,2019,895,146,254,1295
182,Mildura Rural C,2020,935,144,389,1468
183,Mildura Rural C,2021,1106,224,236,1566
184,Mitchell S,2018,680,75,677,1432
185,Mitchell S,2019,550,71,346,967
186,Mitchell S,2020,582,65,870,1517
187,Mitchell S,2021,814,115,944,1873
188,Moira S,2018,499,106,174,779
189,Moira S,2019,410,81,196,687
190,Moira S,2020,462,99,233,794
191,Moira S,2021,601,94,281,976
192,Monash C,2018,1671,1445,25,3141
193,Monash C,2019,1727,1257,22,3006
194,Monash C,2020,1338,1169,31,2538
195,Monash C,2021,2149,1685,31,3865
196,Moonee Valley C,2018,1212,1137,20,2369
197,Moonee Valley C,2019,1186,1129,25,2340
198,Moonee Valley C,2020,1108,831,31,1970
199,Moonee Valley C,2021,1774,1229,26,3029
200,Moorabool S,2018,474,79,426,979
201,Moorabool S,2019,437,62,240,739
202,Moorabool S,2020,431,70,315,816
203,Moorabool S,2021,599,92,120,811
204,Merri-Bec,2018,1543,1975,29,3547
205,Merri-Bec,2019,1451,1895,12,3358
206,Merri-Bec,2020,1276,1644,30,2950
207,Merri-Bec,2021,1894,2458,20,4372
208,Mornington Peninsula S,2018,3262,826,280,4368
209,Mornington Peninsula S,2019,3282,737,254,4273
210,Mornington Peninsula S,2020,3375,787,397,4559
211,Mornington Peninsula S,2021,4129,1149,307,5585
212,Mount Alexander S,2018,275,33,174,482
213,Mount Alexander S,2019,288,23,110,421
214,Mount Alexander S,2020,301,23,161,485
215,Mount Alexander S,2021,328,32,104,464
216,Moyne S,2018,190,23,70,283
217,Moyne S,2019,201,19,58,278
218,Moyne S,2020,198,13,82,293
219,Moyne S,2021,198,21,50,269
220,Murrindindi S,2018,199,17,68,284
221,Murrindindi S,2019,159,14,51,224
222,Murrindindi S,2020,181,11,98,290
223,Murrindindi S,2021,231,13,79,323
224,Nillumbik S,2018,464,191,62,717
225,Nillumbik S,2019,594,185,71,850
226,Nillumbik S,2020,472,126,119,717
227,Nillumbik S,2021,693,188,111,992
228,Northern Grampians S,2018,206,10,25,241
229,Northern Grampians S,2019,224,16,25,265
230,Northern Grampians S,2020,211,22,40,273
231,Northern Grampians S,2021,213,17,41,271
232,Port Phillip C,2018,619,2257,2,2878
233,Port Phillip C,2019,647,1932,1,2580
234,Port Phillip C,2020,621,1785,3,2409
235,Port Phillip C,2021,914,2721,1,3636
236,Pyrenees S,2018,76,0,30,106
237,Pyrenees S,2019,74,1,24,99
238,Pyrenees S,2020,67,0,36,103
239,Pyrenees S,2021,78,2,63,143
240,Borough of Queenscliffe,2018,71,20,6,97
241,Borough of Queenscliffe,2019,74,16,2,92
242,Borough of Queenscliffe,2020,86,20,9,115
243,Borough of Queenscliffe,2021,94,21,5,120
244,Greater Shepparton C,2018,947,137,438,1522
245,Greater Shepparton C,2019,828,140,344,1312
246,Greater Shepparton C,2020,974,112,633,1719
247,Greater Shepparton C,2021,1163,174,374,1711
248,South Gippsland S,2018,568,75,296,939
249,South Gippsland S,2019,464,49,174,687
250,South Gippsland S,2020,547,41,292,880
251,South Gippsland S,2021,608,49,198,855
252,Southern Grampians S,2018,301,13,32,346
253,Southern Grampians S,2019,242,32,28,302
254,Southern Grampians S,2020,307,19,59,385
255,Southern Grampians S,2021,356,23,33,412
256,Stonnington C,2018,897,1932,3,2832
257,Stonnington C,2019,827,1633,1,2461
258,Stonnington C,2020,786,1431,7,2224
259,Stonnington C,2021,1199,2302,6,3507
260,Strathbogie S,2018,156,29,94,279
261,Strathbogie S,2019,156,25,65,246
262,Strathbogie S,2020,106,20,103,229
263,Strathbogie S,2021,190,15,87,292
264,Surf Coast S,2018,538,156,379,1073
265,Surf Coast S,2019,537,119,255,911
266,Surf Coast S,2020,657,135,394,1186
267,Surf Coast S,2021,662,128,196,986
268,Swan Hill Rural C,2018,294,47,49,390
269,Swan Hill Rural C,2019,270,44,53,367
270,Swan Hill Rural C,2020,248,29,90,367
271,Swan Hill Rural C,2021,317,33,71,421
272,Towong S,2018,77,3,15,95
273,Towong S,2019,64,4,16,84
274,Towong S,2020,95,6,17,118
275,Towong S,2021,92,7,20,119
276,Wangaratta Rural C,2018,423,60,110,593
277,Wangaratta Rural C,2019,424,55,128,607
278,Wangaratta Rural C,2020,425,51,197,673
279,Wangaratta Rural C,2021,502,73,61,636
280,Warrnambool C,2018,618,139,143,900
281,Warrnambool C,2019,542,173,231,946
