With train ,City Council_name house files,City Council_only with train,City Council_format2,Year,House Number of Sales,Unit/Apartment Number of Sales,Vacant House Number of Sales,Total Number of Sales
No,Alpine Shire,,Alpine S  ,2018,218,64,106,388
No,Alpine Shire,,Alpine S  ,2019,214,44,69,327
No,Alpine Shire,,Alpine S  ,2020,244,47,96,387
No,Alpine Shire,,Alpine S  ,2021,252,65,72,389
No,Ararat Rural City,,Ararat Rural C  ,2018,209,22,25,256
No,Ararat Rural City,,Ararat Rural C  ,2019,194,20,15,229
No,Ararat Rural City,,Ararat Rural C  ,2020,193,22,42,257
No,Ararat Rural City,,Ararat Rural C  ,2021,224,29,27,280
No,Ballarat City,,Ballarat C  ,2018,"2,478",559,"1,879",4916
No,Ballarat City,,Ballarat C  ,2019,"2,142",418,"1,499",4059
No,Ballarat City,,Ballarat C  ,2020,"2,142",455,"1,876",4473
No,Ballarat City,,Ballarat C  ,2021,"2,474",486,"1,100",4060
Yes,Banyule City,Banyule C,Banyule C  ,2018,"1,277",862,19,2158
Yes,Banyule City,Banyule C,Banyule C  ,2019,"1,254",932,26,2212
Yes,Banyule City,Banyule C,Banyule C  ,2020,"1,048",794,19,1861
Yes,Banyule City,Banyule C,Banyule C  ,2021,"1,599","1,151",18,2768
No,Bass Coast Shire,,Bass Coast S  ,2018,"1,148",209,876,2233
No,Bass Coast Shire,,Bass Coast S  ,2019,958,168,445,1571
No,Bass Coast Shire,,Bass Coast S  ,2020,"1,166",168,829,2163
No,Bass Coast Shire,,Bass Coast S  ,2021,"1,347",245,606,2198
No,Baw Baw Shire,,Baw Baw S  ,2018,989,151,778,1918
No,Baw Baw Shire,,Baw Baw S  ,2019,808,118,443,1369
No,Baw Baw Shire,,Baw Baw S  ,2020,867,132,925,1924
No,Baw Baw Shire,,Baw Baw S  ,2021,"1,153",152,570,1875
Yes,Bayside City,Bayside C,Bayside C  ,2018,"1,153",850,11,2014
Yes,Bayside City,Bayside C,Bayside C  ,2019,"1,207",868,4,2079
Yes,Bayside City,Bayside C,Bayside C  ,2020,"1,073",733,15,1821
Yes,Bayside City,Bayside C,Bayside C  ,2021,"1,511","1,093",12,2616
No,Benalla Rural City,,Benalla Rural C  ,2018,236,61,44,341
No,Benalla Rural City,,Benalla Rural C  ,2019,215,34,50,299
No,Benalla Rural City,,Benalla Rural C  ,2020,224,35,60,319
No,Benalla Rural City,,Benalla Rural C  ,2021,257,27,72,356
No,Greater Bendigo City,,Greater Bendigo C  ,2018,"1,963",363,765,3091
