Zone,Line name ,Stop_name,City council
2,Sunbury line,Sunbury,Hume C  
2,Sunbury line,Diggers Rest,Hume C  
2,Sunbury line,Watergardens,Brimbank C  
2,Sunbury line,Keilor Plains,Brimbank C  
2,Sunbury line,St Albans,Brimbank C  
2,Sunbury line,Ginifer,Brimbank C  
1&2,Sunbury line,Albion,Brimbank C  
1&2,Sunbury line,Sunshine,Brimbank C  
1,Sunbury line,Tottenham,Maribyrnong C  
1,Sunbury line,West Footscray,Maribyrnong C  
1,Sunbury line,Middle Footscray,Maribyrnong C  
1,Inner city,Footscray,Maribyrnong C  
1,Inner city,South Kensington,Melbourne C  
1,Inner city,North Melbourne,Melbourne C  
1,City Loop,Flagstaff,Melbourne C  
1,City Loop,Melbourne Central,Melbourne C  
1,City Loop,Parliament,Melbourne C  
1,City Loop,Flinders Street,Melbourne C  
1,City Loop,Southern Cross,Melbourne C  
1,Ringwood line,Alamein,Boroondara C  
1,Ringwood line,Ashburton,Boroondara C  
1,Ringwood line,Burwood,Boroondara C  
1,Ringwood line,Hartwell,Boroondara C  
1,Ringwood line,Willison,Boroondara C  
1,Ringwood line,Riversdale,Boroondara C  
1,Ringwood line,Camberwell,Boroondara C  
1,Ringwood line,Auburn,Boroondara C  
1,Ringwood line,Glenferrie,Boroondara C  
1,Ringwood line,Hawthorn,Boroondara C  
1,Inner city,Burnley,Yarra C  
1,Inner city,East Richmond,Yarra C  
1,Inner city,Richmond,Yarra C  
2,Ringwood line,Belgrave,Yarra Ranges S  
2,Ringwood line,Tecoma,Yarra Ranges S  
2,Ringwood line,Upwey,Yarra Ranges S  
2,Ringwood line,Upper Ferntree Gully,Knox C  
2,Ringwood line,Ferntree Gully,Knox C  
2,Ringwood line,Boronia,Knox C  
2,Ringwood line,Bayswater,Knox C  
2,Ringwood line,Heathmont,Maroondah C  
2,Ringwood line,Ringwood,Maroondah C  
2,Ringwood line,Heatherdale,Maroondah C  
2,Ringwood line,Mitcham,Whitehorse C  
2,Ringwood line,Nunawading,Whitehorse C  
2,Ringwood line,Blackburn,Whitehorse C  
2,Ringwood line,Laburnum,Whitehorse C  
2,Ringwood line,Box Hill,Whitehorse C  
1&2,Ringwood line,Union,Boroondara C  
1&2,Ringwood line,Chatham,Boroondara C  
1&2,Ringwood line,Canterbury,Boroondara C  
1,Ringwood line,East Camberwell,Boroondara C  
2,Craigieburn line,Craigieburn,Hume C  
2,Craigieburn line,Roxburgh Park,Hume C  
2,Craigieburn line,Coolaroo,Hume C  
2,Craigieburn line,Broadmeadows,Hume C  
2,Craigieburn line,Jacana,Hume C  
1&2,Craigieburn line,Glenroy,Merry-bek C  
1&2,Craigieburn line,Oak Park,Merry-bek C
1&2,Craigieburn line,Pascoe Vale,Merry-bek C 
1,Craigieburn line,Strathmore,Moonee Valley C  
1,Craigieburn line,Glenbervie,Moonee Valley C  
1,Craigieburn line,Essendon,Moonee Valley C  
1,Craigieburn line,Moonee Ponds,Moonee Valley C  
1,Craigieburn line,Ascot Vale,Moonee Valley C  
1,Craigieburn line,Newmarket,Moonee Valley C  
1,Craigieburn line,Kensington,Melbourne C  
2,Dandenong line,Cranbourne,Casey C  
2,Dandenong line,Merinda Park,Casey C  
2,Dandenong line,Lynbrook,Casey C  
1,Dandenong line,Dandenong,Greater Dandenong C  
2,Dandenong line,Yarraman,Greater Dandenong C  
2,Dandenong line,Noble Park,Greater Dandenong C  
