Zone,Line name ,Station,City council
2,Sunbury line,Sunbury,Hume C  
2,Sunbury line,Diggers Rest,Hume C  
2,Sunbury line,Watergardens,Brimbank C  
2,Sunbury line,Keilor Plains,Brimbank C  
2,Sunbury line,St Albans,Brimbank C  
2,Sunbury line,Ginifer,Brimbank C  
1&2,Sunbury line,Albion,Brimbank C  
1&2,Sunbury line,Sunshine,Brimbank C  
1,Sunbury line,Tottenham,Maribyrnong C  
1,Sunbury line,West Footscray,Maribyrnong C  
1,Sunbury line,Middle Footscray,Maribyrnong C  
1,Sunbury line,Footscray,Maribyrnong C  
1,Sunbury line,South Kensington,Melbourne C  
1,Sunbury line,North Melbourne,Melbourne C  
1,Sunbury line,Flagstaff,Melbourne C  
1,Sunbury line,Melbourne Central,Melbourne C  
1,Sunbury line,Parliament,Melbourne C  
1,Sunbury line,Flinders Street,Melbourne C  
1,Sunbury line,Southern Cross,Melbourne C  
1,Alamein line,Alamein,Boroondara C  
1,Alamein line,Ashburton,Boroondara C  
1,Alamein line,Burwood,Boroondara C  
1,Alamein line,Hartwell,Boroondara C  
1,Alamein line,Willison,Boroondara C  
1,Alamein line,Riversdale,Boroondara C  
1,Alamein line,Camberwell,Boroondara C  
1,Alamein line,Auburn,Boroondara C  
1,Alamein line,Glenferrie,Boroondara C  
1,Alamein line,Hawthorn,Boroondara C  
1,Alamein line,Burnley,Yarra C  
1,Alamein line,East Richmond,Yarra C  
1,Alamein line,Richmond,Yarra C  
1,Alamein line,Parliament,Melbourne C  
1,Alamein line,Melbourne Central,Melbourne C  
1,Alamein line,Flagstaff,Melbourne C  
1,Alamein line,Southern Cross,Melbourne C  
1,Alamein line,Flinders Street,Melbourne C  
2,Belgrave line,Belgrave,Yarra Ranges S  
2,Belgrave line,Tecoma,Yarra Ranges S  
2,Belgrave line,Upwey,Yarra Ranges S  
2,Belgrave line,Upper Ferntree Gully,Knox C  
2,Belgrave line,Ferntree Gully,Knox C  
2,Belgrave line,Boronia,Knox C  
2,Belgrave line,Bayswater,Knox C  
2,Belgrave line,Heathmont,Maroondah C  
2,Belgrave line,Ringwood,Maroondah C  
2,Belgrave line,Heatherdale,Maroondah C  
2,Belgrave line,Mitcham,Whitehorse C  
2,Belgrave line,Nunawading,Whitehorse C  
2,Belgrave line,Blackburn,Whitehorse C  
2,Belgrave line,Laburnum,Whitehorse C  
2,Belgrave line,Box Hill,Whitehorse C  
1&2,Belgrave line,Union,Boroondara C  
1&2,Belgrave line,Chatham,Boroondara C  
1&2,Belgrave line,Canterbury,Boroondara C  
1,Belgrave line,East Camberwell,Boroondara C  
1,Belgrave line,Camberwell,Boroondara C  
1,Belgrave line,Auburn,Boroondara C  
1,Belgrave line,Glenferrie,Boroondara C  
1,Belgrave line,Hawthorn,Boroondara C  
1,Belgrave line,Burnley,Yarra C  
1,Belgrave line,East Richmond,Yarra C  
1,Belgrave line,Richmond,Yarra C  
1,Belgrave line,Parliament,Melbourne C  
1,Belgrave line,Melbourne Central,Melbourne C  
1,Belgrave line,Flagstaff,Melbourne C  
1,Belgrave line,Southern Cross,Melbourne C  
1,Belgrave line,Flinders Street,Melbourne C  
2,Craigieburn line,Craigieburn,Hume C  
2,Craigieburn line,Roxburgh Park,Hume C  
2,Craigieburn line,Coolaroo,Hume C  
2,Craigieburn line,Broadmeadows,Hume C  
2,Craigieburn line,Jacana,Hume C  
1&2,Craigieburn line,Glenroy,Moreland C  
