City council,Distance,TotalAnnual,TotalAMPeak,TotalPMPeak,TotalWeekday,TotalWeekend,TotalOffpeak,TotalIncrease(%),WeekdayIncrease(%),AMIncrease(%),PMIncrease(%),OffPeakIncrease(%),WeekendIncrease(%)
Banyule C  ,13.392110228592378,16823150.0,26600.0,13450.0,59200.0,49850.0,20300.0,57.926784669397314,55.69620253164557,51.010101010101,77.14285714285715,55.90551181102362,80.97014925373134
Bayside C  ,14.183176844793918,19655550.0,28450.0,13250.0,63400.0,70800.0,21850.0,66.65585080948152,63.020833333333336,63.793103448275865,64.28571428571429,62.99212598425197,79.28388746803068
Boroondara C  ,9.023778323726683,26341800.0,31350.0,33400.0,94000.0,74000.0,32300.0,66.56029830946021,64.86042692939245,60.280373831775705,64.7887323943662,74.33155080213903,80.90692124105013
Brimbank C  ,16.208247160563833,19624650.0,29200.0,10750.0,66650.0,60750.0,26700.0,50.60081466395112,49.80237154150198,51.30434782608696,51.28205128205128,48.97959183673469,54.83870967741935
Cardinia S  ,48.81524700067996,5640200.0,9100.0,3100.0,20550.0,14150.0,8950.0,149.97435593955893,138.54166666666669,158.53658536585365,138.46153846153845,120.93023255813952,196.2962962962963
Casey C  ,38.42338015930118,14640650.0,21750.0,8000.0,52900.0,38050.0,23300.0,90.47598989048021,83.76383763837639,77.8688524590164,109.375,84.48275862068965,127.08333333333333
Darebin C  ,8.325016580296383,22618650.0,33100.0,16400.0,75850.0,76200.0,28000.0,74.4135738882185,71.42857142857143,60.0896860986547,94.44444444444444,76.10062893081762,87.71084337349397
Frankston C  ,37.59458380841252,6626350.0,6950.0,4300.0,21100.0,26250.0,11050.0,73.99585188182922,70.22900763358778,57.446808510638306,84.0,73.84615384615385,90.14084507042254
Glen Eira C  ,10.860237023660401,24589800.0,31150.0,21350.0,82600.0,91750.0,30350.0,61.875908870576836,61.489698890649755,59.57446808510638,68.51851851851852,58.64978902953587,68.81559220389805
Greater Dandenong C  ,24.980748321006608,18560600.0,20300.0,17550.0,63450.0,61500.0,25650.0,77.95554739162381,76.8,65.15151515151516,90.52631578947368,77.7027027027027,89.42598187311178
Hobsons Bay C  ,11.572842177626814,17216850.0,27300.0,10950.0,58800.0,52600.0,22050.0,88.01061822649291,84.49367088607595,72.39263803680981,112.24489795918366,91.42857142857143,110.62992125984252
Hume C  ,21.702833219094558,23938450.0,28200.0,20950.0,80400.0,80650.0,32200.0,58.53053698032026,57.453416149068325,56.83453237410072,57.692307692307686,55.55555555555556,64.43661971830986
Kingston C  ,25.547626045330283,14826050.0,19850.0,12050.0,49700.0,53050.0,18800.0,63.33534599874927,60.62499999999999,50.0,85.71428571428571,62.83185840707964,76.47058823529412
Knox C  ,28.884952536181448,6133700.0,10350.0,3000.0,21150.0,17550.0,8200.0,54.68080249575165,51.798561151079134,45.20547945205479,68.75,53.84615384615385,71.0
Maribyrnong C  ,7.113930812051514,23513450.0,29400.0,21150.0,78900.0,77250.0,28950.0,66.21146838538144,64.76683937823834,55.55555555555556,73.37662337662337,69.15422885572139,80.56112224448898
Maroondah C  ,24.315330743375366,13461350.0,18300.0,10350.0,44850.0,44800.0,16700.0,59.621581025752846,57.09219858156028,43.51145038167939,88.67924528301887,59.4059405940594,68.4
Melbourne C  ,2.5715489887670278,199105700.0,58500.0,392200.0,687350.0,588100.0,237250.0,60.18495080721375,56.966145833333336,67.33167082294264,52.20392989909719,64.06882591093117,79.57399103139014
Merri-Bek C,8.783637126804129,9693050.0,13200.0,6950.0,31550.0,35000.0,12300.0,56.61706409709093,55.348837209302324,48.484848484848484,70.73170731707317,56.41025641025641,61.63793103448276
Merri-Bek C ,11.083289793295943,4102850.0,6450.0,2050.0,13550.0,14200.0,5150.0,37.81367176233055,37.34939759036144,35.41666666666667,55.55555555555556,38.46153846153847,45.07042253521127
Mery-Bek C  ,13.384962334430142,2689650.0,3550.0,1750.0,8900.0,9250.0,3500.0,35.438317130405636,33.75,37.83783783783784,33.33333333333333,26.666666666666668,40.78947368421053
Monash C  ,15.748572088218623,33914850.0,39800.0,34650.0,116100.0,112150.0,41500.0,75.41909660203576,71.55688622754491,63.29588014981273,86.66666666666667,71.98275862068965,99.59919839679358
Moonee Valley C  ,6.925494963011881,17851900.0,26850.0,13350.0,60050.0,58650.0,20500.0,105.73885448124072,99.70501474926253,70.45454545454545,164.40677966101697,114.5631067961165,136.59420289855072
Mornington Peninsula S  ,57.18438342376888,270050.0,2000.0,2000.0,2000.0,4200.0,6000.0,59.111617312072894,100.0,100.0,100.0,100.0,84.21052631578947
Nillumbik S  ,25.62933583368502,1676350.0,3050.0,1100.0,5900.0,5450.0,3150.0,53.92452288707131,46.15384615384615,50.0,100.0,69.23076923076923,78.94736842105263
Port Phillip C  ,5.919712883403318,8839650.0,13100.0,7050.0,29600.0,28650.0,9300.0,64.10361383006439,58.730158730158735,51.68539325842697,65.9090909090909,57.14285714285714,92.85714285714286
Stonnington C  ,7.8310310432454004,23360800.0,29700.0,24150.0,79150.0,79600.0,26900.0,68.313035048084,64.4927536231884,56.451612903225815,77.98165137614679,67.5,92.35668789808918
Whitehorse C  ,16.588422189687698,18953400.0,29000.0,14450.0,65050.0,57850.0,21650.0,41.01816494548009,38.84892086330935,40.7563025210084,33.582089552238806,41.75824175824176,50.22222222222222
Whittlesea C  ,21.002612306484448,40508650.0,26250.0,67200.0,139450.0,116600.0,46650.0,81.76079332446487,75.60137457044674,61.940298507462686,116.27906976744187,73.33333333333333,112.00000000000001
Wyndham C  ,24.29382435531043,10784350.0,17400.0,5700.0,37850.0,29400.0,14850.0,45.93337762171396,42.810457516339866,34.161490683229815,79.41176470588235,45.13274336283185,74.43181818181817
Yarra C  ,3.0990257288267338,38622700.0,20200.0,61800.0,125150.0,140750.0,43550.0,74.57240651886168,69.93355481727575,62.77372262773723,70.703125,74.76190476190476,91.34253450439147
Yarra Ranges S  ,33.63308473141761,6223600.0,8850.0,3750.0,20750.0,20600.0,9050.0,55.10627901294893,51.77304964539007,41.53846153846154,68.18181818181817,57.14285714285714,68.0327868852459
