Trip_ID,Person_ID,Year,Total_Stops,Trip_Count,Start_Time,Arrival_Time,Trip_Time,Travel_Time,Wait_Time,Duration,Total_Distance,Original_Place_1,Original_Place_2,Original_Purpose_1,Original_Purpose_2,Destination_1,Destination_2,Dest_Purpose_1,Dest_Purpose_2,Starting_LGA,Ending_LGA,Trip_Purpose,Link_Mode,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7
Y12H0000102P03T01,Y12H0000102P03,2012,3,1,510,580,70,54,16,470.0,24.32,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Whittlesea (C),Yarra (C),Work Related,Train,2.79,20.56,0.97,0.0,0.0,0.0,0.0,Vehicle Passenger,Train,Walking,0,0,0,0,10,34.0,10.0,0.0,0.0,0.0,0.0
Y12H0000102P03T02,Y12H0000102P03,2012,3,2,1050,1120,70,56,14,0.0,24.32,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Yarra (C),Whittlesea (C),Change Mode,Train,0.97,20.56,2.79,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Passenger,0,0,0,0,10,36.0,10.0,0.0,0.0,0.0,0.0
Y12H0000103P03T02,Y12H0000103P03,2012,3,2,920,950,30,28,2,0.0,6.22,Place of Education,Secondary School,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Whittlesea (C),Whittlesea (C),Change Mode,Train,0.24,3.52,2.46,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,5,8.0,15.0,0.0,0.0,0.0,0.0
Y12H0000103P04T02,Y12H0000103P04,2012,3,2,920,950,30,28,2,0.0,6.22,Place of Education,Secondary School,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Whittlesea (C),Whittlesea (C),Change Mode,Train,0.24,3.52,2.46,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,5,8.0,15.0,0.0,0.0,0.0,0.0
Y12H0000303P01T01,Y12H0000303P01,2012,3,1,430,460,30,30,0,380.0,10.25,Accommodation,Survey Home,At Home,At home,Workplace,Another Workplace,Work Related,Employer's Business,Stonnington (C),Yarra (C),Work Related,Train,1.04,8.31,0.9,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,15.0,5.0,0.0,0.0,0.0,0.0
Y12H0000303P01T02,Y12H0000303P01,2012,3,2,840,880,40,35,5,45.0,10.25,Workplace,Another Workplace,Work Related,Employer's Business,Accommodation,Survey Home,At or Go Home,Go home,Yarra (C),Stonnington (C),Change Mode,Train,0.9,8.31,1.04,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,5,20.0,10.0,0.0,0.0,0.0,0.0
Y12H0000310P03T01,Y12H0000310P03,2012,4,1,600,650,50,43,7,265.0,14.79,Accommodation,Survey Home,At Home,At home,Place of Education,Education NEC,Education,At school,Stonnington (C),Boroondara (C),Education,Train,1.16,8.88,4.32,0.43,0.0,0.0,0.0,Walking,Train,Train,Walking,0,0,0,10,13.0,8.0,12.0,0.0,0.0,0.0
Y12H0000310P03T02,Y12H0000310P03,2012,4,2,915,990,75,72,3,0.0,24.07,Place of Education,Education NEC,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Boroondara (C),Stonnington (C),Change Mode,Train,0.43,6.89,14.42,2.33,0.0,0.0,0.0,Walking,Train,Train,Walking,0,0,0,12,13.0,16.0,31.0,0.0,0.0,0.0
Y12H0000312P01T01,Y12H0000312P01,2012,3,1,480,535,55,47,8,200.0,13.02,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Stonnington (C),Melbourne (C),Work Related,Train,0.95,11.45,0.63,0.0,0.0,0.0,0.0,Bicycle,Train,Walking,0,0,0,0,10,22.0,15.0,0.0,0.0,0.0,0.0
Y12H0000312P01T04,Y12H0000312P01,2012,3,4,1095,1160,65,55,10,0.0,16.99,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Stonnington (C),Change Mode,Train,0.63,15.41,0.95,0.0,0.0,0.0,0.0,Walking,Train,Bicycle,0,0,0,0,15,30.0,10.0,0.0,0.0,0.0,0.0
Y12H0000312P03T01,Y12H0000312P03,2012,3,1,470,530,60,57,3,490.0,13.16,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Stonnington (C),Melbourne (C),Work Related,Train,0.95,11.45,0.76,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,15,32.0,10.0,0.0,0.0,0.0,0.0
Y12H0000312P03T02,Y12H0000312P03,2012,3,2,1020,1075,55,52,3,0.0,17.37,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Stonnington (C),Change Mode,Train,0.76,14.42,2.19,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,12.0,30.0,0.0,0.0,0.0,0.0
Y12H0000312P04T01,Y12H0000312P04,2012,3,1,470,515,45,43,2,400.0,10.12,Accommodation,Survey Home,At Home,At home,Place of Education,Secondary School,Education,At school,Stonnington (C),Yarra (C),Education,Train,0.95,7.34,1.83,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,13.0,20.0,0.0,0.0,0.0,0.0
Y12H0000312P04T02,Y12H0000312P04,2012,3,2,915,970,55,44,11,0.0,10.12,Place of Education,Secondary School,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Yarra (C),Stonnington (C),Change Mode,Train,1.83,7.34,0.95,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,20,14.0,10.0,0.0,0.0,0.0,0.0
Y12H0000312P05T01,Y12H0000312P05,2012,3,1,470,515,45,42,3,410.0,10.12,Accommodation,Survey Home,At Home,At home,Place of Education,Secondary School,Education,At school,Stonnington (C),Yarra (C),Education,Train,0.95,7.34,1.83,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,12.0,20.0,0.0,0.0,0.0,0.0
Y12H0000312P05T02,Y12H0000312P05,2012,4,2,925,962,37,29,8,0.0,5.52,Place of Education,Secondary School,Education,At school,Accommodation,Someone Else's Home,Personal Business,Stayed overnight,Yarra (C),Stonnington (C),Personal Business,Train,1.83,1.53,1.62,0.54,0.0,0.0,0.0,Walking,Train,Train,Walking,0,0,0,13,5.0,6.0,5.0,0.0,0.0,0.0
Y12H0000326P03T01,Y12H0000326P03,2012,3,1,490,545,55,48,7,235.0,15.15,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Monash (C),Melbourne (C),Work Related,Train,0.75,13.85,0.55,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,14,23.0,11.0,0.0,0.0,0.0,0.0
Y12H0000326P03T04,Y12H0000326P03,2012,3,4,1060,1125,65,50,15,0.0,15.15,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Monash (C),Change Mode,Train,0.55,13.85,0.75,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,25.0,15.0,0.0,0.0,0.0,0.0
Y12H0000330P01T01,Y12H0000330P01,2012,3,1,450,505,55,45,10,229.0,14.31,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Monash (C),Melbourne (C),Work Related,Train,3.92,10.16,0.23,0.0,0.0,0.0,0.0,Vehicle Driver,Train,Walking,0,0,0,0,15,25.0,5.0,0.0,0.0,0.0,0.0
Y12H0000330P01T04,Y12H0000330P01,2012,3,4,1100,1165,65,45,20,0.0,14.31,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Monash (C),Change Mode,Train,0.23,10.16,3.92,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Driver,0,0,0,0,5,25.0,15.0,0.0,0.0,0.0,0.0
Y12H0000407P03T02,Y12H0000407P03,2012,5,2,960,985,25,20,5,222.0,5.82,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Someone Else's Home,Social,Visited someone,Maribyrnong (C),Maribyrnong (C),Social,Train,0.38,2.16,0.38,1.95,0.95,0.0,0.0,Walking,Public Bus,Walking,Train,Walking,0,0,2,3.0,5.0,2.0,8.0,0.0,0.0
