Melbourne Metropolitan Area,,,,,,,,,,,,,,,
Residential price statistics 1992 to 2022,,,,,,,,,,,,,,,
House Median,,,,,,Unit/Apartment Median,,,,,Vacant House Block Median,,,,
,,Houses,,,,Units/Apartments,,,,,Vacant House Blocks,,,,
Year,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,
1992 ,"41,212 ","125,000 ",,"150,106 ",,"15,130 ","110,000 ",,"133,910 ",,"12,924 ","45,000 ",,"52,976 ",
1993 ,"44,033 ","125,000 ",,"150,787 ",,"18,016 ","110,200 ",,"136,985 ",,"13,539 ","48,000 ",,"56,262 ",
1994 ,"47,021 ","129,000 ",,"158,943 ",,"20,649 ","115,000 ",,"143,916 ",,"13,663 ","51,750 ",,"61,648 ",
1995 ,"44,190 ","127,225 ",,"158,147 ",,"17,116 ","115,000 ",,"142,447 ",,"11,327 ","54,000 ",,"69,228 ",
1996 ,"46,577 ","130,000 ",,"161,100 ",,"20,080 ","115,000 ",,"144,437 ",,"10,859 ","55,000 ",,"63,954 ",
1997 ,"57,412 ","140,000 ",,"178,951 ",,"27,875 ","127,500 ",,"159,952 ",,"15,690 ","58,000 ",,"69,850 ",
1998 ,"53,696 ","152,000 ",,"194,260 ",,"26,022 ","140,000 ",,"173,873 ",,"15,567 ","60,000 ",,"74,087 ",
1999 ,"56,655 ","171,000 ",,"220,998 ",,"30,744 ","169,500 ",,"209,400 ",,"20,478 ","64,000 ",,"76,131 ",
2000 ,"57,243 ","188,000 ",,"240,838 ",,"30,128 ","187,000 ",,"228,991 ",,"15,158 ","65,000 ",,"72,354 ",
2001 ,"66,691 ","220,500 ",,"277,963 ",,"37,101 ","230,000 ",,"270,471 ",,"23,541 ","73,500 ",,"84,910 ",
2002 ,"62,936 ","259,000 ",,"320,114 ",,"32,440 ","260,000 ",,"304,998 ",,"21,448 ","89,000 ",,"98,778 ",
2003 ,"61,369 ","291,500 ",,"361,587 ",,"30,649 ","272,000 ",,"320,849 ",,"22,177 ","117,000 ",,"126,084 ",
2004 ,"53,796 ","308,869 ",,"381,610 ",,"26,104 ","275,000 ",,"324,943 ",,"12,998 ","135,000 ",,"144,947 ",
2005 ,"56,845 ","320,000 ",,"399,924 ",,"29,133 ","285,000 ",,"335,814 ",,"13,332 ","137,000 ",,"146,848 ",
2006 ,"55,171 ","345,000 ",,"439,676 ",,"30,862 ","305,000 ",,"368,461 ",,"14,768 ","139,000 ",,"153,139 ",
