City Council_format2,Year,House Number of Sales,Unit/Apartment Number of Sales,Vacant House Number of Sales,Total Number of Sales
Alpine Shire,2018 ,218,64,106,388
Alpine Shire,2019 ,214,44,69,327
Alpine Shire,2020 ,244,47,96,387
Alpine Shire,2021 ,252,65,72,389
Ararat Rural City,2018 ,209,22,25,256
Ararat Rural City,2019 ,194,20,15,229
Ararat Rural City,2020 ,193,22,42,257
Ararat Rural City,2021 ,224,29,27,280
Ballarat City,2018 ,2478,559,1879,4916
Ballarat City,2019 ,2142,418,1499,4059
Ballarat City,2020 ,2142,455,1876,4473
Ballarat City,2021 ,2474,486,1100,4060
Banyule City,2018 ,1277,862,19,2158
Banyule City,2019 ,1254,932,26,2212
Banyule City,2020 ,1048,794,19,1861
Banyule City,2021 ,1599,1151,18,2768
Bass Coast Shire,2018 ,1148,209,876,2233
Bass Coast Shire,2019 ,958,168,445,1571
Bass Coast Shire,2020 ,1166,168,829,2163
Bass Coast Shire,2021 ,1347,245,606,2198
Baw Baw Shire,2018 ,989,151,778,1918
Baw Baw Shire,2019 ,808,118,443,1369
Baw Baw Shire,2020 ,867,132,925,1924
Baw Baw Shire,2021 ,1153,152,570,1875
Bayside City,2018 ,1153,850,11,2014
Bayside City,2019 ,1207,868,4,2079
Bayside City,2020 ,1073,733,15,1821
Bayside City,2021 ,1511,1093,12,2616
Benalla Rural City,2018 ,236,61,44,341
Benalla Rural City,2019 ,215,34,50,299
Benalla Rural City,2020 ,224,35,60,319
Benalla Rural City,2021 ,257,27,72,356
Greater Bendigo City,2018 ,1963,363,765,3091
Greater Bendigo City,2019 ,1875,371,844,3090
Greater Bendigo City,2020 ,1884,321,1410,3615
Greater Bendigo City,2021 ,2350,455,569,3374
Boroondara City,2018 ,1610,1523,24,3157
Boroondara City,2019 ,1657,1349,19,3025
Boroondara City,2020 ,1398,1148,17,2563
Boroondara City,2021 ,2221,1885,25,4131
Brimbank City,2018 ,1922,564,59,2545
Brimbank City,2019 ,1757,525,159,2441
Brimbank City,2020 ,1408,467,149,2024
Brimbank City,2021 ,2250,761,111,3122
Buloke Shire,2018 ,123,3,18,144
Buloke Shire,2019 ,105,5,17,127
Buloke Shire,2020 ,131,7,29,167
Buloke Shire,2021 ,149,3,39,191
Campaspe Shire,2018 ,491,81,127,699
Campaspe Shire,2019 ,424,94,116,634
Campaspe Shire,2020 ,480,68,237,785
Campaspe Shire,2021 ,607,95,74,776
Cardinia Shire,2018 ,1853,235,903,2991
Cardinia Shire,2019 ,1726,208,789,2723
Cardinia Shire,2020 ,1669,197,1209,3075
Cardinia Shire,2021 ,2583,285,781,3649
Casey City,2018 ,4511,584,2677,7772
Casey City,2019 ,4683,522,2328,7533
Casey City,2020 ,4365,562,4235,9162
Casey City,2021 ,6406,875,2107,9388
Central Goldfields Shire,2018 ,233,36,36,305
Central Goldfields Shire,2019 ,207,23,41,271
Central Goldfields Shire,2020 ,203,25,67,295
Central Goldfields Shire,2021 ,294,32,93,419
Colac Otway Shire,2018 ,374,62,177,613
Colac Otway Shire,2019 ,340,50,136,526
Colac Otway Shire,2020 ,350,52,141,543
Colac Otway Shire,2021 ,387,55,111,553
Corangamite Shire,2018 ,211,14,44,269
Corangamite Shire,2019 ,177,10,41,228
Corangamite Shire,2020 ,217,13,67,297
Corangamite Shire,2021 ,251,18,46,315
Greater Dandenong City,2018 ,1098,937,74,2109
Greater Dandenong City,2019 ,1155,761,80,1996
Greater Dandenong City,2020 ,931,693,71,1695
Greater Dandenong City,2021 ,1506,1289,55,2850
Darebin City,2018 ,1290,1402,16,2708
Darebin City,2019 ,1267,1242,12,2521
Darebin City,2020 ,1107,1174,5,2286
Darebin City,2021 ,1635,1878,20,3533
East Gippsland Shire,2018 ,923,147,368,1438
East Gippsland Shire,2019 ,843,132,332,1307
East Gippsland Shire,2020 ,1012,86,567,1665
East Gippsland Shire,2021 ,1243,106,513,1862
Frankston City,2018 ,2117,803,69,2989
Frankston City,2019 ,1986,752,86,2824
Frankston City,2020 ,1810,813,58,2681
