,Zone,Line name ,Stop_name,City council
0,2,Sunbury line,Sunbury,Hume C  
1,2,Sunbury line,Diggers Rest,Hume C  
2,2,Sunbury line,Watergardens,Brimbank C  
3,2,Sunbury line,Keilor Plains,Brimbank C  
4,2,Sunbury line,St Albans,Brimbank C  
5,2,Sunbury line,Ginifer,Brimbank C  
6,1&2,Sunbury line,Albion,Brimbank C  
7,1&2,Sunbury line,Sunshine,Brimbank C  
8,1,Sunbury line,Tottenham,Maribyrnong C  
9,1,Sunbury line,West Footscray,Maribyrnong C  
10,1,Sunbury line,Middle Footscray,Maribyrnong C  
11,1,inner city,Footscray,Maribyrnong C  
12,1,inner city,South Kensington,Melbourne C  
13,1,inner city,North Melbourne,Melbourne C  
14,1,City Loop,Flagstaff,Melbourne C  
15,1,City Loop,Melbourne Central,Melbourne C  
16,1,City Loop,Parliament,Melbourne C  
17,1,City Loop,Flinders Street,Melbourne C  
18,1,City Loop,Southern Cross,Melbourne C  
19,1,Ringwood line,Alamein,Boroondara C  
20,1,Ringwood line,Ashburton,Boroondara C  
21,1,Ringwood line,Burwood,Boroondara C  
22,1,Ringwood line,Hartwell,Boroondara C  
23,1,Ringwood line,Willison,Boroondara C  
24,1,Ringwood line,Riversdale,Boroondara C  
25,1,Ringwood line,Camberwell,Boroondara C  
26,1,Ringwood line,Auburn,Boroondara C  
27,1,Ringwood line,Glenferrie,Boroondara C  
28,1,Ringwood line,Hawthorn,Boroondara C  
29,1,Inner city,Burnley,Yarra C  
30,1,Inner city,East Richmond,Yarra C  
31,1,Inner city,Richmond,Yarra C  
37,2,Ringwood line,Belgrave,Yarra Ranges S  
38,2,Ringwood line,Tecoma,Yarra Ranges S  
39,2,Ringwood line,Upwey,Yarra Ranges S  
40,2,Ringwood line,Upper Ferntree Gully,Knox C  
41,2,Ringwood line,Ferntree Gully,Knox C  
42,2,Ringwood line,Boronia,Knox C  
43,2,Ringwood line,Bayswater,Knox C  
44,2,Ringwood line,Heathmont,Maroondah C  
45,2,Ringwood line,Ringwood,Maroondah C  
46,2,Ringwood line,Heatherdale,Maroondah C  
47,2,Ringwood line,Mitcham,Whitehorse C  
48,2,Ringwood line,Nunawading,Whitehorse C  
49,2,Ringwood line,Blackburn,Whitehorse C  
50,2,Ringwood line,Laburnum,Whitehorse C  
51,2,Ringwood line,Box Hill,Whitehorse C  
52,1&2,Ringwood line,Union,Boroondara C  
53,1&2,Ringwood line,Chatham,Boroondara C  
54,1&2,Ringwood line,Canterbury,Boroondara C  
55,1,Ringwood line,East Camberwell,Boroondara C  
68,2,Craigieburn line,Craigieburn,Hume C  
69,2,Craigieburn line,Roxburgh Park,Hume C  
70,2,Craigieburn line,Coolaroo,Hume C  
71,2,Craigieburn line,Broadmeadows,Hume C  
72,2,Craigieburn line,Jacana,Hume C  
73,1&2,Craigieburn line,Glenroy,Moreland C  
74,1&2,Craigieburn line,Oak Park,Moreland C  
75,1&2,Craigieburn line,Pascoe Vale,Moreland C  
76,1,Craigieburn line,Strathmore,Moonee Valley C  
77,1,Craigieburn line,Glenbervie,Moonee Valley C  
78,1,Craigieburn line,Essendon,Moonee Valley C  
79,1,Craigieburn line,Moonee Ponds,Moonee Valley C  
80,1,Craigieburn line,Ascot Vale,Moonee Valley C  
81,1,Craigieburn line,Newmarket,Moonee Valley C  
82,1,Craigieburn line,Kensington,Melbourne C  
89,2,Dandenong line,Cranbourne,Casey C  
90,2,Dandenong line,Merinda Park,Casey C  
91,2,Dandenong line,Lynbrook,Casey C  
92,1,Dandenong line,Dandenong,Greater Dandenong C  
93,2,Dandenong line,Yarraman,Greater Dandenong C  
94,2,Dandenong line,Noble Park,Greater Dandenong C  
95,2,Dandenong line,Sandown Park,Greater Dandenong C  
96,2,Dandenong line,Springvale,Greater Dandenong C  
97,2,Dandenong line,Westall,Kingston C  
98,2,Dandenong line,Clayton,Monash C  
99,1&2,Dandenong line,Huntingdale,Monash C  
100,1&2,Dandenong line,Oakleigh,Monash C  
101,1&2,Dandenong line,Hughesdale,Monash C  
102,1,Dandenong line,Murrumbeena,Glen Eira C  
103,1,Dandenong line,Carnegie,Glen Eira C  
104,1,Dandenong line,Caulfield,Glen Eira C  
105,1,Dandenong line,Malvern,Stonnington C  
106,1,Dandenong line,Armadale,Stonnington C  
107,1,Dandenong line,Toorak,Stonnington C  
108,1,Dandenong line,Hawksburn,Stonnington C  
109,1,Inner city,South Yarra,Melbourne C  
116,2,Frankston line,Frankston,Frankston C  
117,2,Frankston line,Kananook,Frankston C  
118,2,Frankston line,Seaford,Frankston C  
119,2,Frankston line,Carrum,Kingston C  
120,2,Frankston line,Bonbeach,Kingston C  
121,2,Frankston line,Chelsea,Kingston C  
122,2,Frankston line,Edithvale,Kingston C  
123,2,Frankston line,Aspendale,Kingston C  
124,2,Frankston line,Mordialloc,Kingston C  
125,2,Frankston line,Parkdale,Kingston C  
126,2,Frankston line,Mentone,Kingston C  
127,2,Frankston line,Cheltenham,Bayside C  
128,2,Frankston line,Southland,Bayside C  
129,2,Frankston line,Highett,Bayside C  
130,2,Frankston line,Moorabbin,Bayside C  
131,2,Frankston line,Patterson,Glen Eira C  
132,1&2,Frankston line,Bentleigh,Glen Eira C  
133,1&2,Frankston line,McKinnon,Glen Eira C  
134,1&2,Frankston line,Ormond,Glen Eira C  
135,1,Frankston line,Glen Huntly,Glen Eira C  
148,2,Glen Waverley line,Glen Waverley,Monash C  
149,2,Glen Waverley line,Syndal,Monash C  
150,2,Glen Waverley line,Mount Waverley,Monash C  
151,2,Glen Waverley line,Jordanville,Monash C  
152,1&2,Glen Waverley line,Holmesglen,Stonnington C  
153,1&2,Glen Waverley line,East Malvern,Stonnington C  
154,1&2,Glen Waverley line,Darling,Stonnington C  
155,1,Glen Waverley line,Glen Iris,Stonnington C  
156,1,Glen Waverley line,Gardiner,Stonnington C  
157,1,Glen Waverley line,Tooronga,Stonnington C  
158,1,Glen Waverley line,Kooyong,Stonnington C  
159,1,Glen Waverley line,Heyington,Stonnington C  
168,2,Hurstbridge line,Hurstbridge,Nillumbik S  
169,2,Hurstbridge line,Wattle Glen,Nillumbik S  
170,2,Hurstbridge line,Diamond Creek,Nillumbik S  
171,2,Hurstbridge line,Eltham,Banyule C  
172,2,Hurstbridge line,Montmorency,Banyule C  
173,2,Hurstbridge line,Greensborough,Banyule C  
174,2,Hurstbridge line,Watsonia,Banyule C  
175,2,Hurstbridge line,Macleod,Banyule C  
176,2,Hurstbridge line,Rosanna,Banyule C  
177,1&2,Hurstbridge line,Heidelberg,Banyule C  
178,1&2,Hurstbridge line,Eaglemont,Banyule C  
179,1&2,Hurstbridge line,Ivanhoe,Banyule C  
180,1,Hurstbridge line,Darebin,Banyule C  
181,1,Hurstbridge line,Alphington,Darebin C  
182,1,Hurstbridge line,Fairfield,Darebin C  
183,1,Hurstbridge line,Dennis,Darebin C  
184,1,Hurstbridge line,Westgarth,Darebin C  
185,1,Inner city,Clifton Hill,Yarra C  
186,1,Inner city,Victoria Park,Yarra C  
187,1,Inner city,Collingwood,Yarra C  
188,1,Inner city,North Richmond,Yarra C  
189,1,Inner city,West Richmond,Yarra C  
190,1,Inner city,Jolimont-MCG,Melbourne C  
196,2,Ringwood line,Lilydale,Yarra Ranges S  
197,2,Ringwood line,Mooroolbark,Yarra Ranges S  
198,2,Ringwood line,Croydon,Maroondah C  
199,2,Ringwood line,Ringwood East,Maroondah C  
223,2,Mernda line,Mernda,Whittlesea C  
224,2,Mernda line,Hawkstowe,Whittlesea C  
225,2,Mernda line,Middle Gorge,Whittlesea C  
226,2,Mernda line,South Morang,Whittlesea C  
227,2,Mernda line,Epping,Whittlesea C  
228,2,Mernda line,Lalor,Whittlesea C  
229,2,Mernda line,Thomastown,Whittlesea C  
