,Zone,Line name ,Stop_name,City council,_id,year1819,Stop_ID,Stop_lat,Stop_long,Pax_annual1819,Pax_weekday1819,Pax_norm_weekday1819,Pax_sch_hol_weekday1819,Pax_Saturday1819,Pax_Sunday1819,Pax_pre_AM_peak1819,Pax_AM_peak1819,Pax_interpeak1819,Pax_PM_peak1819,Pax_PM_late1819,year1920,Pax_annual1920,Pax_weekday1920,Pax_norm_weekday1920,Pax_sch_hol_weekday1920,Pax_Saturday1920,Pax_Sunday1920,Pax_pre_AM_peak1920,Pax_AM_peak1920,Pax_interpeak1920,Pax_PM_peak1920,Pax_PM_late1920,year2021r,Pax_annual2021,Pax_weekday2021,Pax_norm_weekday2021,Pax_sch_hol_weekday2021,Pax_Saturday2021,Pax_Sunday2021,Pax_pre_AM_peak2021,Pax_AM_peak2021,Pax_interpeak2021,Pax_PM_peak2021,Pax_PM_late2021,year2122,Pax_annual2122,Pax_weekday2122,Pax_norm_weekday2122,Pax_sch_hol_weekday2122,Pax_Saturday2122,Pax_Sunday2122,Pax_pre_AM_peak2122,Pax_AM_peak2122,Pax_interpeak2122,Pax_PM_peak2122,Pax_PM_late2122,year2223,Pax_annual2223,Pax_weekday2223,Pax_norm_weekday2223,Pax_sch_hol_weekday2223,Pax_Saturday2223,Pax_Sunday2223,Pax_pre_AM_peak2223,Pax_AM_peak2223,Pax_interpeak2223,Pax_PM_peak2223,Pax_PM_late2223,Totalfootfall,TotalAMPeak,TotalPMPeak
0,2,Sunbury line,Sunbury,Hume C  ,161.0,FY18-19,15351.0,-37.57909097,144.7273188,803350.0,2600.0,2700.0,2400.0,1550.0,1050.0,700.0,1000.0,500.0,400.0,100.0,FY19-20,379400.0,1300.0,1350.0,1150.0,600.0,400.0,100.0,750.0,250.0,150.0,50.0,FY20-21,301950.0,950.0,950.0,1000.0,650.0,450.0,200.0,300.0,200.0,200.0,50.0,FY21-22,203150.0,650.0,650.0,550.0,450.0,300.0,50.0,300.0,150.0,150.0,50.0,FY22-23,581150.0,1800.0,1800.0,1850.0,1300.0,900.0,350.0,650.0,350.0,350.0,50.0,2269000.0,3000.0,1250.0
1,2,Sunbury line,Diggers Rest,Hume C  ,162.0,FY18-19,15353.0,-37.62701651,144.7199224,221250.0,800.0,850.0,700.0,200.0,150.0,150.0,550.0,100.0,50.0,50.0,FY19-20,628800.0,2050.0,2100.0,1750.0,1350.0,800.0,550.0,750.0,400.0,300.0,100.0,FY20-21,59350.0,200.0,200.0,200.0,100.0,50.0,50.0,100.0,50.0,50.0,50.0,FY21-22,362700.0,1150.0,1150.0,1000.0,750.0,550.0,250.0,400.0,250.0,200.0,50.0,FY22-23,129750.0,450.0,450.0,400.0,200.0,150.0,100.0,250.0,50.0,50.0,50.0,1401850.0,2050.0,650.0
2,2,Sunbury line,Watergardens,Brimbank C  ,163.0,FY18-19,20000.0,-37.70112872,144.7741805,1689500.0,5800.0,5950.0,5200.0,2500.0,1850.0,1050.0,3000.0,1150.0,600.0,150.0,FY19-20,185050.0,650.0,700.0,550.0,200.0,150.0,150.0,400.0,100.0,50.0,50.0,FY20-21,528500.0,1750.0,1700.0,1800.0,950.0,700.0,250.0,700.0,400.0,300.0,50.0,FY21-22,65200.0,200.0,250.0,150.0,100.0,50.0,50.0,100.0,50.0,50.0,50.0,FY22-23,1029750.0,3350.0,3450.0,3050.0,1850.0,1450.0,450.0,1700.0,750.0,450.0,100.0,3498000.0,5900.0,1450.0
3,2,Sunbury line,Keilor Plains,Brimbank C  ,164.0,FY18-19,20001.0,-37.72927934,144.7937381,808750.0,2750.0,2850.0,2450.0,1200.0,900.0,500.0,1550.0,500.0,200.0,50.0,FY19-20,1300950.0,4350.0,4550.0,3650.0,2250.0,1500.0,800.0,2200.0,900.0,500.0,100.0,FY20-21,262450.0,850.0,850.0,900.0,450.0,350.0,150.0,350.0,200.0,100.0,50.0,FY21-22,587400.0,1900.0,2000.0,1550.0,1100.0,850.0,300.0,850.0,450.0,300.0,50.0,FY22-23,483400.0,1600.0,1650.0,1400.0,850.0,650.0,250.0,850.0,300.0,150.0,50.0,3442950.0,5800.0,1250.0
4,2,Sunbury line,St Albans,Brimbank C  ,165.0,FY18-19,20002.0,-37.74486131,144.8000505,1191150.0,3950.0,4050.0,3450.0,2050.0,1650.0,400.0,1650.0,1200.0,650.0,150.0,FY19-20,632200.0,2100.0,2200.0,1800.0,1050.0,750.0,400.0,1150.0,400.0,150.0,50.0,FY20-21,500200.0,1600.0,1600.0,1600.0,1000.0,800.0,200.0,500.0,500.0,350.0,50.0,FY21-22,277900.0,900.0,950.0,750.0,500.0,350.0,150.0,450.0,200.0,100.0,50.0,FY22-23,891100.0,2850.0,2950.0,2550.0,1800.0,1400.0,300.0,1050.0,900.0,550.0,100.0,3492550.0,4800.0,1800.0
5,2,Sunbury line,Ginifer,Brimbank C  ,166.0,FY18-19,20003.0,-37.75751083,144.8095734,831750.0,2750.0,2850.0,2500.0,1400.0,1100.0,300.0,1300.0,700.0,450.0,100.0,FY19-20,963000.0,3100.0,3300.0,2550.0,1900.0,1300.0,300.0,1300.0,1000.0,550.0,100.0,FY20-21,320700.0,1050.0,1050.0,1050.0,600.0,450.0,100.0,350.0,300.0,250.0,50.0,FY21-22,610250.0,1900.0,1950.0,1700.0,1250.0,1000.0,250.0,650.0,600.0,400.0,50.0,FY22-23,519400.0,1700.0,1750.0,1500.0,900.0,700.0,150.0,750.0,450.0,400.0,50.0,3245100.0,4350.0,2050.0
6,1&2,Sunbury line,Albion,Brimbank C  ,167.0,FY18-19,20004.0,-37.77765281,144.8247036,686100.0,2350.0,2450.0,2100.0,1000.0,700.0,300.0,1350.0,450.0,250.0,50.0,FY19-20,659350.0,2150.0,2250.0,1800.0,1250.0,900.0,250.0,1000.0,550.0,350.0,50.0,FY20-21,204500.0,650.0,650.0,700.0,350.0,250.0,100.0,300.0,150.0,100.0,50.0,FY21-22,345200.0,1100.0,1150.0,950.0,650.0,500.0,100.0,450.0,300.0,250.0,50.0,FY22-23,336250.0,1100.0,1150.0,1000.0,600.0,450.0,150.0,600.0,250.0,150.0,50.0,2231400.0,3700.0,1100.0
7,1&2,Sunbury line,Sunshine,Brimbank C  ,182.0,FY18-19,20021.0,-37.78853633,144.8328782,2157750.0,7000.0,7150.0,6250.0,4050.0,3300.0,600.0,2650.0,1800.0,1750.0,350.0,FY19-20,124600.0,400.0,450.0,300.0,250.0,200.0,50.0,200.0,100.0,100.0,50.0,FY20-21,896350.0,2900.0,2950.0,2700.0,1700.0,1200.0,250.0,800.0,850.0,900.0,150.0,FY21-22,69100.0,200.0,200.0,200.0,150.0,150.0,50.0,50.0,50.0,50.0,50.0,FY22-23,466850.0,1600.0,1650.0,1300.0,750.0,500.0,150.0,950.0,300.0,300.0,50.0,3714650.0,4650.0,3100.0
8,1,Sunbury line,Tottenham,Maribyrnong C  ,183.0,FY18-19,20022.0,-37.7992509,144.8629449,613100.0,2050.0,2100.0,1900.0,1000.0,700.0,200.0,1050.0,450.0,350.0,50.0,FY19-20,1753250.0,5700.0,5850.0,5300.0,3300.0,2400.0,500.0,2000.0,1500.0,1550.0,300.0,FY20-21,190650.0,600.0,600.0,650.0,350.0,250.0,50.0,200.0,150.0,150.0,50.0,FY21-22,1235800.0,3950.0,4000.0,3700.0,2550.0,1850.0,300.0,1200.0,1050.0,1200.0,200.0,FY22-23,173550.0,550.0,600.0,500.0,350.0,250.0,50.0,300.0,100.0,100.0,50.0,3966350.0,4750.0,3350.0
9,1,Sunbury line,West Footscray,Maribyrnong C  ,184.0,FY18-19,20023.0,-37.8018087,144.8853248,733050.0,2500.0,2550.0,2300.0,1150.0,750.0,250.0,1450.0,450.0,350.0,50.0,FY19-20,442450.0,1450.0,1550.0,1250.0,750.0,550.0,150.0,750.0,350.0,250.0,50.0,FY20-21,213500.0,700.0,700.0,700.0,350.0,250.0,50.0,300.0,150.0,150.0,50.0,FY21-22,232450.0,750.0,800.0,700.0,450.0,300.0,50.0,300.0,200.0,200.0,50.0,FY22-23,3957000.0,12900.0,13600.0,10400.0,7750.0,5350.0,650.0,3800.0,3650.0,4600.0,850.0,5578450.0,6600.0,5550.0
10,1,Sunbury line,Middle Footscray,Maribyrnong C  ,185.0,FY18-19,20024.0,-37.8025047,144.8914721,279700.0,950.0,950.0,850.0,500.0,350.0,50.0,500.0,200.0,150.0,50.0,FY19-20,515950.0,1700.0,1800.0,1400.0,900.0,600.0,150.0,1000.0,350.0,250.0,50.0,FY20-21,81800.0,250.0,250.0,250.0,200.0,150.0,50.0,100.0,50.0,50.0,50.0,FY21-22,283750.0,950.0,950.0,800.0,500.0,350.0,100.0,500.0,200.0,200.0,50.0,FY22-23,283350.0,900.0,950.0,750.0,550.0,450.0,50.0,400.0,200.0,250.0,50.0,1444550.0,2500.0,900.0
11,1,Sunbury line,Footscray,Maribyrnong C  ,186.0,FY18-19,20025.0,-37.80108298,144.9031992,5332950.0,17700.0,18300.0,15300.0,9800.0,6550.0,750.0,5400.0,4750.0,6150.0,1250.0,FY19-20,191600.0,600.0,650.0,500.0,400.0,250.0,50.0,350.0,150.0,100.0,50.0,FY20-21,2056000.0,6550.0,6550.0,6450.0,4300.0,2900.0,350.0,1650.0,1900.0,2250.0,450.0,FY21-22,103450.0,350.0,350.0,300.0,250.0,150.0,50.0,150.0,100.0,50.0,50.0,FY22-23,129200.0,150.0,150.0,50.0,1400.0,100.0,50.0,50.0,50.0,50.0,100.0,7813200.0,7600.0,8600.0
12,1,Sunbury line,South Kensington,Melbourne C  ,187.0,FY18-19,20026.0,-37.79953087,144.925469,412850.0,1400.0,1450.0,1300.0,650.0,450.0,100.0,700.0,300.0,300.0,50.0,FY19-20,4038750.0,13350.0,14050.0,11100.0,7550.0,4800.0,600.0,4100.0,3800.0,4650.0,900.0,FY20-21,127950.0,400.0,400.0,400.0,250.0,200.0,50.0,150.0,100.0,100.0,50.0,FY21-22,2783000.0,8800.0,9050.0,7900.0,6050.0,4150.0,450.0,2400.0,2450.0,3150.0,600.0,FY22-23,725000.0,2300.0,2350.0,2050.0,1450.0,1200.0,150.0,550.0,700.0,800.0,150.0,8087550.0,7900.0,9000.0
13,1,Sunbury line,North Melbourne,Melbourne C  ,216.0,FY18-19,19973.0,-37.80630984,144.9415102,1497300.0,4550.0,4700.0,3950.0,3400.0,3350.0,100.0,700.0,950.0,2500.0,450.0,FY19-20,10865600.0,36300.0,38250.0,29850.0,17100.0,13850.0,200.0,1300.0,7850.0,21750.0,7150.0,FY20-21,2213650.0,7900.0,8150.0,7050.0,2350.0,1550.0,50.0,300.0,1600.0,5250.0,950.0,FY21-22,2911250.0,10300.0,10800.0,8400.0,3750.0,2300.0,100.0,450.0,2000.0,7000.0,1300.0,FY22-23,1144850.0,3400.0,3500.0,3100.0,3200.0,2350.0,150.0,550.0,750.0,1700.0,350.0,18632650.0,3300.0,38200.0
14,1,Sunbury line,Flagstaff,Melbourne C  ,211.0,FY18-19,19841.0,-37.81198131,144.9556538,4854950.0,18500.0,19300.0,15400.0,2600.0,1850.0,100.0,750.0,2600.0,14050.0,1750.0,FY19-20,441650.0,1300.0,1300.0,1300.0,1150.0,900.0,100.0,300.0,400.0,450.0,100.0,FY20-21,103900.0,350.0,400.0,200.0,150.0,100.0,50.0,100.0,50.0,150.0,50.0,FY21-22,115350.0,400.0,450.0,200.0,150.0,100.0,50.0,150.0,50.0,200.0,50.0,FY22-23,2758300.0,10250.0,11000.0,7550.0,2150.0,1550.0,100.0,700.0,2100.0,7150.0,950.0,8274150.0,2000.0,22000.0
15,1,Sunbury line,Melbourne Central,Melbourne C  ,212.0,FY18-19,19842.0,-37.80993877,144.9625935,15250700.0,51500.0,53150.0,45000.0,23850.0,18950.0,300.0,1700.0,10400.0,30350.0,10450.0,FY19-20,184700.0,650.0,700.0,500.0,200.0,150.0,100.0,350.0,100.0,150.0,50.0,FY20-21,70900.0,250.0,250.0,200.0,150.0,100.0,50.0,100.0,50.0,50.0,50.0,FY21-22,87950.0,300.0,300.0,250.0,150.0,100.0,50.0,150.0,50.0,50.0,50.0,FY22-23,8626300.0,29000.0,30600.0,22700.0,13700.0,10550.0,250.0,1300.0,7100.0,17050.0,4950.0,24220550.0,3600.0,47650.0
16,1,Sunbury line,Parliament,Melbourne C  ,213.0,FY18-19,19843.0,-37.81105406,144.9729109,10124200.0,38000.0,39650.0,31600.0,7000.0,4850.0,150.0,1050.0,5300.0,28850.0,4200.0,FY19-20,181900.0,650.0,650.0,550.0,250.0,150.0,150.0,400.0,100.0,50.0,50.0,FY20-21,327900.0,1100.0,1150.0,900.0,600.0,400.0,200.0,550.0,200.0,150.0,50.0,FY21-22,447850.0,1400.0,1500.0,1200.0,900.0,650.0,250.0,750.0,300.0,150.0,50.0,FY22-23,4723950.0,17500.0,18700.0,12750.0,4000.0,2750.0,100.0,850.0,3100.0,12650.0,2050.0,15805800.0,3600.0,41850.0
17,1,Sunbury line,Flinders Street,Melbourne C  ,214.0,FY18-19,19854.0,-37.81830513,144.9669643,28320650.0,93050.0,94900.0,85900.0,52050.0,38750.0,1900.0,4850.0,16650.0,55250.0,16250.0,FY19-20,527250.0,1800.0,1850.0,1600.0,800.0,500.0,500.0,900.0,250.0,150.0,50.0,FY20-21,1378000.0,5050.0,5200.0,4450.0,1200.0,800.0,100.0,350.0,900.0,3400.0,450.0,FY21-22,1681700.0,6100.0,6450.0,4900.0,1650.0,1100.0,100.0,400.0,1100.0,4300.0,550.0,FY22-23,18793400.0,56800.0,56700.0,57200.0,47800.0,35350.0,1350.0,3300.0,11200.0,29950.0,10900.0,50701000.0,9800.0,93050.0
18,1,Sunbury line,Southern Cross,Melbourne C  ,218.0,FY18-19,22180.0,-37.81793643,144.9514112,19551450.0,68350.0,70650.0,59550.0,25200.0,19350.0,650.0,3450.0,10750.0,48000.0,7800.0,FY19-20,21503500.0,70500.0,72650.0,63400.0,39400.0,28950.0,1300.0,3950.0,13250.0,42400.0,11750.0,FY20-21,1292650.0,3450.0,3600.0,3050.0,3500.0,3050.0,100.0,450.0,650.0,1550.0,850.0,FY21-22,1966800.0,4650.0,4750.0,4300.0,7350.0,5750.0,100.0,550.0,700.0,2100.0,1250.0,FY22-23,10942400.0,35900.0,37050.0,31400.0,19550.0,16250.0,450.0,2400.0,6750.0,23000.0,4400.0,55256800.0,10800.0,117050.0
19,1,Alamein line,Alamein,Boroondara C  ,18.0,FY18-19,19847.0,-37.86832039,145.0796557,145700.0,500.0,500.0,450.0,200.0,150.0,50.0,350.0,100.0,50.0,50.0,FY19-20,113450.0,400.0,400.0,350.0,150.0,100.0,50.0,250.0,50.0,50.0,50.0,FY20-21,46350.0,150.0,150.0,150.0,100.0,50.0,50.0,100.0,50.0,50.0,50.0,FY21-22,54200.0,150.0,200.0,150.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,FY22-23,78100.0,250.0,300.0,200.0,150.0,100.0,50.0,150.0,50.0,50.0,50.0,437800.0,950.0,250.0
20,1,Alamein line,Ashburton,Boroondara C  ,19.0,FY18-19,19848.0,-37.86196753,145.0813438,299050.0,1050.0,1100.0,900.0,400.0,300.0,100.0,700.0,150.0,100.0,50.0,FY19-20,239200.0,850.0,850.0,700.0,300.0,200.0,100.0,550.0,150.0,100.0,50.0,FY20-21,100200.0,350.0,350.0,300.0,150.0,100.0,50.0,150.0,100.0,50.0,50.0,FY21-22,109450.0,350.0,400.0,300.0,200.0,150.0,50.0,200.0,100.0,50.0,50.0,FY22-23,168550.0,600.0,600.0,450.0,250.0,200.0,50.0,350.0,100.0,100.0,50.0,916450.0,1950.0,400.0
21,1,Alamein line,Burwood,Boroondara C  ,20.0,FY18-19,19849.0,-37.85156328,145.0805111,357550.0,1300.0,1350.0,1100.0,400.0,300.0,100.0,850.0,200.0,200.0,50.0,FY19-20,268750.0,950.0,1000.0,800.0,350.0,250.0,50.0,600.0,150.0,150.0,50.0,FY20-21,106400.0,350.0,350.0,300.0,150.0,100.0,50.0,200.0,100.0,50.0,50.0,FY21-22,116850.0,400.0,400.0,300.0,200.0,150.0,50.0,250.0,100.0,50.0,50.0,FY22-23,194700.0,700.0,750.0,500.0,250.0,150.0,50.0,450.0,100.0,100.0,50.0,1044250.0,2350.0,550.0
22,1,Alamein line,Hartwell,Boroondara C  ,21.0,FY18-19,19850.0,-37.84398457,145.0755596,214350.0,750.0,800.0,650.0,250.0,150.0,50.0,500.0,100.0,150.0,50.0,FY19-20,165200.0,600.0,600.0,500.0,200.0,150.0,50.0,350.0,100.0,100.0,50.0,FY20-21,66400.0,200.0,250.0,200.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,FY21-22,75500.0,250.0,250.0,200.0,150.0,100.0,50.0,150.0,50.0,50.0,50.0,FY22-23,117950.0,400.0,450.0,300.0,150.0,150.0,50.0,250.0,100.0,50.0,50.0,639400.0,1350.0,400.0
